ENTITY ID | FRIENDLY NAME
switch.kuche_birne_2_automatisches_update_aktiviert | Automatisches Update aktiviert
binary_sensor.kuche_streifen_cloud_verbindung | Cloud-Verbindung
binary_sensor.kuche_streifen_uberhitzt | Überhitzt
button.kuche_streifen_neu_starten | Neu starten
light.kuche_streifen | Unknown
select.kuche_streifen_lichtvoreinstellung | Lichtvoreinstellung
sensor.kuche_streifen_signalpegel | Signalpegel
sensor.kuche_streifen_signalstarke | Signalstärke
sensor.kuche_streifen_ssid | SSID
sensor.kuche_streifen_gerateuhrzeit | Geräteuhrzeit
switch.kuche_streifen_automatisches_update_aktiviert | Automatisches Update aktiviert
switch.kuche_streifen_fliessende_ubergange | Fließende Übergänge
binary_sensor.roborock_q7_max_mopp_angebracht | Mopp angebracht
binary_sensor.roborock_q7_max_wasserkasten_angebracht | Wasserkasten angebracht
binary_sensor.roborock_q7_max_reinigen | Reinigen
binary_sensor.roborock_q7_max_ladestatus | Ladestatus
image.roborock_q7_max_map_0 | Map 0
select.roborock_q7_max_wisch_intensitat | Wisch-Intensität
select.roborock_q7_max_dock_entleerungsmodus | Entleerungsmodus
select.roborock_q7_max_ausgewahlte_karte | Ausgewählte Karte
sensor.roborock_q7_max_verbleibende_zeit_der_hauptburste | Verbleibende Zeit der Hauptbürste
sensor.roborock_q7_max_verbleibende_zeit_der_seitenburste | Verbleibende Zeit der Seitenbürste
sensor.roborock_q7_max_verbleibende_filterzeit | Verbleibende Filterzeit
sensor.roborock_q7_max_verbleibende_sensorzeit | Verbleibende Sensorzeit
sensor.roborock_q7_max_reinigungszeit | Reinigungszeit
sensor.roborock_q7_max_gesamtreinigungszeit | Gesamtreinigungszeit
sensor.roborock_q7_max_gesamtzahl_reinigungen | Gesamtzahl Reinigungen
sensor.roborock_q7_max_status | Status
sensor.roborock_q7_max_reinigungsbereich | Reinigungsbereich
sensor.roborock_q7_max_gesamter_reinigungsbereich | Gesamter Reinigungsbereich
sensor.roborock_q7_max_staubsauger_fehler | Staubsauger-Fehler
sensor.roborock_q7_max_batterie | Batterie
sensor.roborock_q7_max_letzter_reinigungsbeginn | Letzter Reinigungsbeginn
sensor.roborock_q7_max_letztes_reinigungsende | Letztes Reinigungsende
sensor.roborock_q7_max_dock_dock_fehler | Dock-Fehler
sensor.roborock_q7_max_aktueller_raum | Aktueller Raum
